,회사명,종목코드
0,AJ네트웍스,95570
1,BGF리테일,282330
2,BNK금융지주,138930
3,DSR,155660
4,DS단석,17860
5,HD한국조선해양,9540
6,HD현대에너지솔루션,322000
7,KG케미칼,1390
8,KH 필룩스,33180
9,KPX케미칼,25000
10,KTis,58860
11,LG이노텍,11070
12,LG헬로비전,37560
13,LX홀딩스,383800
14,MH에탄올,23150
15,NH올원리츠,400760
16,SK이노베이션,96770
17,SK케미칼,285130
18,SNT다이내믹스,3570
19,STX,11810
20,SUN&L,2820
21,갤럭시아에스엠,11420
22,경농,2100
23,경동인베스트,12320
24,광전자,17900
25,국도화학,7690
26,국보,1140
27,극동유화,14530
28,금호건설,2990
29,넥스틸,92790
30,노루페인트,90350
31,녹십자홀딩스,5250
32,대덕전자,353200
33,대림통상,6570
34,대성산업,128820
35,대한전선,1440
36,더블유게임즈,192080
37,동국홀딩스,1230
38,두산퓨얼셀,336260
39,롯데지주,4990
40,메타랩스,90370
41,명문제약,17180
42,모나리자,12690
43,미원화학,134380
44,부국증권,1270
45,비케이탑스,30790
46,삼부토건,1470
47,삼성공조,6660
48,삼성엔지니어링,28050
49,삼성제약,1360
50,삼성출판사,68290
51,삼양패키징,272550
52,삼양홀딩스,70
53,삼익THK,4380
54,삼호개발,10960
55,선진,136490
56,시디즈,134790
57,신대양제지,16590
58,신도리코,29530
59,신세계건설,34300
60,신세계인터내셔날,31430
61,신풍,2870
62,신한알파리츠,293940
63,아센디오,12170
64,아이에이치큐,3560
65,영풍제지,6740
66,영화금속,12280
67,오뚜기,7310
68,우진,105840
69,윌비스,8600
70,유나이티드,33270
71,인지컨트롤스,23800
72,인터지스,129260
73,일성건설,13360
74,일정실업,8500
75,일진다이아,81000
76,자화전자,33240
77,제일약품,271980
78,제일파마홀딩스,2620
79,조비,1550
80,종근당홀딩스,1630
81,진양화학,51630
82,진에어,272450
83,케이씨티시,9070
84,코람코더원리츠,417310
85,코람코라이프인프라리츠,357120
86,코스맥스,192820
87,코오롱글로벌,3070
88,코웨이,21240
89,콤텍시스템,31820
90,키다리스튜디오,20120
91,태양금속공업,4100
92,토니모리,214420
93,티케이지휴켐스,69260
94,페이퍼코리아,1020
95,포스코퓨처엠,3670
96,하이트론씨스템즈,19490
97,한국ANKOR유전,152550
98,한국주철관공업,970
99,한국패러랠,168490
100,한미사이언스,8930
101,한솔로지스틱스,9180
102,한솔테크닉스,4710
103,한일철강,2220
104,한일홀딩스,3300
105,한화,880
106,한화생명,88350
107,한화솔루션,9830
108,핸즈코퍼레이션,143210
109,현대건설,720
110,현대비앤지스틸,4560
111,현대자동차,5380
112,현대차증권,1500
113,호전실업,111110
114,AK홀딩스,6840
115,CJ CGV,79160
116,CJ씨푸드,11150
117,CJ제일제당,97950
118,CS홀딩스,590
119,DL,210
120,DL건설,1880
121,DSR제강,69730
122,F&F 홀딩스,7700
123,GS건설,6360
124,GS리테일,7070
125,HDC,12630
126,KG모빌리티,3620
127,LG에너지솔루션,373220
128,SKC,11790
129,SK디스커버리,6120
130,SK디앤디,210980
131,SNT모티브,64960
132,STX그린로지스,465770
133,강원랜드,35250
134,경동나비엔,9450
135,계룡건설산업,13580
136,교보증권,30610
137,금강공업,14280
138,금호전기,1210
139,녹십자,6280
140,농심,4370
141,대구백화점,6370
142,대성에너지,117580
143,대우건설,47040
144,대우부품,9320
145,대원강업,430
146,대원제약,3220
147,대유플러스,300
148,대한방직,1070
149,대한해운,5880
150,덕양산업,24900
151,도화엔지니어링,2150
152,동국씨엠,460850
153,동아에스티,170900
154,동아지질,28100
155,동양생명,82640
156,동원F&B,49770
157,동원금속,18500
158,디아이,3160
159,디앤디플랫폼리츠,377190
160,롯데정밀화학,4000
161,롯데케미칼,11170
162,무학,33920
163,보락,2760
164,빙그레,5180
165,사조대림,3960
166,삼성증권,16360
167,삼성화재해상보험,810
168,삼화페인트공업,390
169,서원,21050
170,세방,4360
171,세원정공,21820
172,세이브존I&C,67830
173,세종공업,33530
174,솔루스첨단소재,336370
175,신송홀딩스,6880
176,신일전자,2700
177,신한지주,55550
178,쌍방울,102280
179,씨에스윈드,112610
180,아남전자,8700
181,아이마켓코리아,122900
182,에스메디,118000
183,엔씨소프트,36570
184,웰바이오텍,10600
185,유니온머티리얼,47400
186,유니켐,11330
187,이수스페셜티케미컬,457190
188,이아이디,93230
189,인디에프,14990
190,일동홀딩스,230
191,제이준코스메틱,25620
192,조흥,2600
193,진양산업,3780
194,청호ICT,12600
195,체시스,33250
196,카카오뱅크,323410
197,케이씨,29460
