Date,Open,High,Low,Close,Volume
2015-07-30,253.93,254.33,245.25,245.25,15419600
2015-07-31,246.26,246.66,237.17,239.19,19579450
2015-08-03,238.99,238.99,235.36,237.17,9844550
2015-08-04,237.17,239.6,236.17,238.59,12844350
2015-08-05,238.59,238.59,233.74,233.95,12802500
2015-08-06,233.14,233.34,225.06,225.06,20199050
2015-08-07,226.07,229.5,225.06,229.3,13787100
2015-08-10,230.11,230.51,228.09,230.31,5722500
2015-08-11,232.33,237.98,231.72,233.54,11664300
2015-08-12,232.13,234.95,230.11,232.94,11154000
2015-08-13,232.73,232.73,229.71,230.11,7520550
2015-08-14,230.11,230.11,230.11,230.11,0
2015-08-17,230.11,230.31,222.84,222.84,11360850
2015-08-18,225.67,230.31,225.47,228.29,11583600
2015-08-19,235.96,237.38,230.31,232.94,20070750
2015-08-20,234.75,236.37,228.09,229.91,10805950
2015-08-21,221.83,227.69,221.23,222.24,20442550
2015-08-24,219.61,225.06,208.51,217.8,22429600
2015-08-25,217.8,223.45,215.37,217.8,19625950
2015-08-26,215.58,216.79,211.94,215.37,27947600
2015-08-27,218.4,219.21,214.57,215.37,24769400
2015-08-28,219.21,219.21,216.59,218.2,23111150
2015-08-31,216.18,219.82,212.35,219.82,20415450
2015-09-01,219.82,221.63,218.2,219.01,12018600
2015-09-02,215.78,221.03,214.97,220.02,15634150
2015-09-03,222.44,227.08,220.62,226.48,15200350
2015-09-04,226.48,230.92,225.67,227.89,12570650
2015-09-07,227.89,227.89,223.05,224.46,9590250
2015-09-08,224.66,229.3,223.25,228.29,9116500
2015-09-09,231.32,231.52,229.3,231.52,12968800
2015-09-10,228.09,229.91,225.67,228.9,18128400
2015-09-11,227.28,228.7,225.06,225.06,10208350
2015-09-14,226.07,226.88,224.05,226.88,8353650
2015-09-15,224.86,227.69,224.66,226.68,11647800
2015-09-16,226.27,233.54,226.27,232.53,17188150
2015-09-17,232.73,233.54,230.92,233.54,13698000
2015-09-18,231.12,240.61,229.1,240.2,21813500
2015-09-21,234.75,236.77,232.13,232.13,10267950
2015-09-22,230.72,232.13,228.09,231.12,12533750
2015-09-23,230.92,230.92,227.08,228.29,9882450
2015-09-24,227.28,229.1,227.08,227.28,6636050
2015-09-25,226.07,227.08,223.85,224.46,10458000
2015-09-30,222.04,228.9,220.02,228.9,22946800
2015-10-01,230.11,231.12,226.27,228.9,12052050
2015-10-02,224.46,228.7,224.46,225.87,13715100
2015-10-05,225.87,228.29,225.06,225.06,12096750
2015-10-06,228.09,233.14,227.49,232.33,19149350
2015-10-07,241.82,252.72,239.39,252.52,39975100
2015-10-08,252.31,258.17,252.31,256.35,28533850
2015-10-12,254.33,254.94,251.71,254.33,18948700
2015-10-13,254.33,256.75,251.91,252.72,9900000
2015-10-14,251.91,254.33,249.69,253.12,8752550
2015-10-15,251.1,258.77,250.9,256.15,12425150
2015-10-16,255.34,256.15,254.13,255.34,7198400
2015-10-19,253.73,255.34,252.11,253.52,5853500
2015-10-20,254.33,256.96,253.52,255.54,7517350
2015-10-21,255.34,258.77,254.13,256.35,6978350
2015-10-22,258.37,261.4,256.15,258.37,11533650
2015-10-23,262.41,262.41,257.97,260.19,13153550
2015-10-26,262.0,262.0,256.75,260.79,7608250
2015-10-27,258.77,262.2,258.57,262.0,6612050
2015-10-28,261.19,264.02,260.59,264.02,13565150
2015-10-29,268.46,280.98,267.25,267.45,31523550
2015-10-30,271.49,280.57,270.68,276.94,25469250
2015-11-02,279.56,281.18,277.34,279.16,19327300
2015-11-03,278.76,278.76,272.5,272.9,15092000
2015-11-04,272.9,274.72,267.65,268.46,14053500
2015-11-05,268.46,273.31,268.46,270.88,8652100
2015-11-06,271.09,272.09,268.46,270.08,8216100
2015-11-09,270.08,271.29,266.64,271.29,9283050
2015-11-10,269.67,270.68,265.23,266.64,9877550
2015-11-11,266.64,271.49,266.64,269.07,7022450
2015-11-12,269.07,269.27,265.84,265.84,7870850
2015-11-13,265.84,265.84,262.41,262.41,8883850
2015-11-16,260.59,260.59,254.94,254.94,13785250
2015-11-17,257.36,260.39,256.35,256.35,9309200
2015-11-18,256.75,260.39,256.75,258.57,8386750
2015-11-19,260.39,260.39,256.55,260.19,9642500
2015-11-20,260.19,261.6,257.97,259.38,8436000
2015-11-23,259.38,262.81,258.57,258.77,9941000
2015-11-24,258.77,263.42,258.77,262.2,7978000
2015-11-25,262.41,264.42,262.2,262.2,7131350
2015-11-26,262.2,270.48,262.2,269.47,9290000
2015-11-27,271.49,272.3,267.86,267.86,8492700
2015-11-30,267.45,267.45,259.18,259.18,26700300
2015-12-01,261.19,266.85,259.98,266.64,12605650
2015-12-02,266.64,266.85,261.19,262.41,11481400
2015-12-03,261.4,261.8,259.58,260.39,8334750
2015-12-04,257.36,258.37,255.74,256.15,9635550
2015-12-07,256.15,257.36,254.74,254.74,9805350
2015-12-08,254.74,256.75,254.74,254.74,6916100
2015-12-09,254.74,257.36,254.74,254.94,9090600
2015-12-10,254.94,260.99,254.94,258.97,15193350
2015-12-11,258.97,261.4,256.75,259.18,10336450
2015-12-14,256.96,256.96,253.32,254.53,11140050
2015-12-15,254.53,258.37,254.33,257.76,8774700
2015-12-16,257.97,264.42,257.97,262.2,10398100
2015-12-17,262.61,264.02,257.36,260.39,8733850
2015-12-18,255.34,259.98,255.14,257.97,8418450
2015-12-21,257.97,259.38,254.53,258.37,8023300
2015-12-22,258.37,260.79,255.74,260.79,10309600
2015-12-23,260.79,262.2,258.77,261.4,10357400
2015-12-24,261.4,262.41,259.38,259.38,7807550
2015-12-28,259.38,260.19,255.54,255.54,11361500
2015-12-29,1215.27,1216.23,1192.21,1204.7,11647200
2015-12-30,1210.47,1222.0,1204.7,1210.47,10197900
2016-01-04,1210.47,1210.47,1157.63,1157.63,15346950
2016-01-05,1154.75,1170.12,1139.38,1160.51,10800100
2016-01-06,1160.51,1160.51,1122.08,1128.81,18337600
2016-01-07,1120.16,1136.49,1105.75,1117.28,14119400
2016-01-08,1117.28,1139.38,1117.28,1124.97,12888150
2016-01-11,1110.56,1120.16,1100.95,1106.71,12063850
2016-01-12,1102.87,1120.16,1099.03,1100.95,10314150
2016-01-13,1107.67,1113.44,1102.87,1102.87,7165800
2016-01-14,1086.54,1097.11,1086.54,1093.26,10451100
2016-01-15,1095.18,1106.71,1079.81,1087.5,10473200
2016-01-18,1045.23,1088.46,1045.23,1081.73,16010700
2016-01-19,1083.66,1124.97,1083.66,1124.97,10362100
2016-01-20,1114.4,1114.4,1087.5,1093.26,8352600
