,회사명,종목코드
0,DSR,155660
1,GS,78930
2,GS글로벌,1250
3,HDC현대산업개발,294870
4,LG이노텍,11070
5,LG전자,66570
6,LG헬로비전,37560
7,OCI,10060
8,S&TC,100840
9,S&T모티브,64960
10,SK이노베이션,96770
11,STX,11810
12,WISCOM,24070
13,YG PLUS,37270
14,갤럭시아에스엠,11420
15,고려아연,10130
16,국보,1140
17,극동유화,14530
18,까뮤이앤씨,13700
19,넷마블,251270
20,대덕,8060
21,대덕전자,353200
22,대영포장,14160
23,대한해운,5880
24,동아쏘시오홀딩스,640
25,두산,150
26,락앤락,115390
27,마니커,27740
28,메리츠증권,8560
29,모두투어리츠,204210
30,부국증권,1270
31,삼성SDI,6400
32,삼성바이오로직스,207940
33,삼성출판사,68290
34,삼성화재해상보험,810
35,삼양식품,3230
36,삼양홀딩스,70
37,삼영전자공업,5680
38,삼영화학공업,3720
39,상상인증권,1290
40,선도전기,7610
41,선진,136490
42,세방전지,4490
43,세원셀론텍,91090
44,신한알파리츠,293940
45,신한지주,55550
46,에넥스,11090
47,에스원,12750
48,영화금속,12280
49,윌비스,8600
50,유나이티드,33270
51,인지컨트롤스,23800
52,일성건설,13360
53,일진다이아,81000
54,제일약품,271980
55,제일연마,1560
56,제일파마홀딩스,2620
57,조흥,2600
58,지역난방공사,71320
59,진도,88790
60,코오롱머티리얼,144620
61,코오롱인더,120110
62,키다리스튜디오,20120
63,태경산업,15890
64,태양금속공업,4100
65,포스코강판,58430
66,필룩스,33180
67,한국공항,5430
68,한국종합기술,23350
69,한국철강,104700
70,한국패러랠,168490
71,한라홀딩스,60980
72,한미사이언스,8930
73,한미약품,128940
74,한솔로지스틱스,9180
75,한일철강,2220
76,한일현대시멘트,6390
77,한창제지,9460
78,한화생명,88350
79,한화시스템,272210
80,현대건설,720
81,현대건설기계,267270
82,현대모비스,12330
83,현대비앤지스틸,4560
84,현대엘리베이터,17800
85,현대중공업지주,267250
86,현대차증권,1500
87,현대홈쇼핑,57050
88,호전실업,111110
89,호텔신라,8770
90,BGF리테일,282330
91,CJ CGV,79160
92,CJ대한통운,120
93,GKL,114090
94,GS건설,6360
95,HDC현대EP,89470
96,JW홀딩스,96760
97,KB금융,105560
98,SG충방,1380
99,SKC,11790
100,금강공업,14280
101,금호산업,2990
102,금호전기,1210
103,기업은행,24110
104,남선알미늄,8350
105,남성,4270
106,대구백화점,6370
107,대우건설,47040
108,대원제약,3220
109,대한방직,1070
110,대한제강,84010
111,대한제당,1790
112,대현,16090
113,덕양산업,24900
114,동원금속,18500
115,두산인프라코어,42670
116,디씨엠,24090
117,디티알오토모티브,7340
118,롯데손해보험,400
119,롯데칠성음료,5300
120,만도,204320
121,미래에셋생명,85620
122,미원홀딩스,107590
123,백산,35150
124,보락,2760
125,사조대림,3960
126,사조동아원,8040
127,삼부토건,1470
128,서원,21050
129,세방,4360
130,세아홀딩스,58650
131,세이브존I&C,67830
132,신송홀딩스,6880
133,신일전자,2700
134,써니전자,4770
135,아이마켓코리아,122900
136,아이에이치큐,3560
137,에이블씨엔씨,78520
138,엔씨소프트,36570
139,영보화학,14440
140,영진약품,3520
141,영풍,670
142,예스코홀딩스,15360
143,유니온머티리얼,47400
144,유유제약,220
145,유한양행,100
146,이마트,139480
147,이수화학,5950
148,이스타코,15020
149,인천도시가스,34590
150,일정실업,8500
151,종근당홀딩스,1630
152,지엠비코리아,13870
153,진원생명과학,11000
154,케이씨텍,281820
155,코리아써키트,7810
156,코스모화학,5420
157,코아스,71950
158,코오롱플라스틱,138490
159,쿠쿠홀딩스,192400
160,큐로,15590
161,티비에이치글로벌,84870
162,하이트론씨스템즈,19490
163,하이트진로,80
164,한국금융지주,71050
165,한국전자홀딩스,6200
166,한국타이어앤테크놀로지,161390
167,한국테크놀로지그룹,240
168,한국토지신탁,34830
169,한국특수형강,7280
170,한일시멘트,300720
171,한전KPS,51600
172,해태제과식품,101530
173,현대에너지솔루션,322000
174,현대에이치씨엔,126560
175,현대위아,11210
176,현대코퍼레이션홀딩스,227840
177,화승인더스트리,6060
178,화천기공,850
179,환인제약,16580
180,효성,4800
181,효성화학,298000
182,흥아해운,3280
183,AJ네트웍스,95570
184,CJ,1040
185,CJ제일제당,97950
186,DRB동일,4840
187,HDC아이콘트롤스,39570
188,KPX케미칼,25000
189,KTis,58860
190,LG상사,1120
191,MH에탄올,23150
192,SBS,34120
193,SBS미디어홀딩스,101060
194,SK텔레콤,17670
195,강원랜드,35250
196,교보증권,30610
197,국제약품,2720
198,금양,1570
199,금호에이치티,214330
200,남해화학,25860
201,넥센타이어,2350
202,녹십자홀딩스,5250
203,농심홀딩스,72710
204,다스코,58730
205,대림건설,1880
206,대웅제약,69620
207,대한유화,6650
208,더존비즈온,12510
209,덕성,4830
210,동방아그로,7590
211,동서,26960
212,동성코퍼레이션,102260
213,동양,1520
214,동양생명,82640
215,동원산업,6040
216,두산퓨얼셀,336260
217,드림텍,192650
218,디아이,3160
219,디와이,13570
220,디피씨,26890
221,롯데정밀화학,4000
222,롯데정보통신,286940
223,맥쿼리인프라,88980
224,메타랩스,90370
225,명문제약,17180
226,모토닉,9680
227,미원화학,134380
228,범양건영,2410
229,베트남개발1,96300
230,빙그레,5180
231,삼성에스디에스,18260
232,삼성중공업,10140
233,삼성증권,16360
234,삼성카드,29780
235,삼양통상,2170
236,삼영무역,2810
237,삼정펄프,9770
238,샘표식품,248170
239,서연이화,200880
240,성보화학,3080
241,세아제강,306200
242,센트랄모텍,308170
243,송원산업,4430
244,신성이엔지,11930
245,신세계인터내셔날,31430
246,신세계푸드,31440
247,신화실업,1770
248,쌍용자동차,3620
249,아세아시멘트,183190
250,애경산업,18250
251,엔에이치엔,181710
252,유니켐,11330
253,유화증권,3460
254,이구산업,25820
255,이월드,84680
256,이지스밸류플러스리츠,334890
257,일성신약,3120
258,제이에스코퍼레이션,194370
259,조비,1550
260,조선선재,120030
261,종근당바이오,63160
262,진양화학,51630
263,청호컴넷,12600
264,케이탑리츠,145270
265,코스모신소재,5070
266,코웨이,21240
267,쿠쿠홈시스,284740
268,키위미디어그룹,12170
269,태평양물산,7980
270,테이팩스,55490
271,텔코웨어,78000
272,팜스코,36580
273,퍼시스,16800
274,포스코케미칼,3670
275,풍산홀딩스,5810
276,하이스틸,71090
277,한국석유공업,4090
278,한국수출포장공업,2200
279,한국자산신탁,123890
280,한국주강,25890
281,한국콜마홀딩스,24720
282,한샘,9240
283,한솔홀딩스,4150
284,한신기계공업,11700
285,한화에어로스페이스,12450
286,현대자동차,5380
287,효성 ITX,94280
288,휴니드테크놀러지스,5870
289,DSR제강,69730
290,JW중외제약,1060
291,KPX홀딩스,92230
292,KSS해운,44450
293,LF,93050
294,LG하우시스,108670
295,LG화학,51910
296,LIG넥스원,79550
297,LS,6260
298,NAVER,35420
299,NH투자증권,5940
300,NICE,34310
301,NI스틸,8260
302,SH에너지화학,2360
303,SK증권,1510
304,SK하이닉스,660
305,경인양행,12610
306,경인전자,9140
307,기신정기,92440
308,녹십자,6280
309,대교,19680
310,대동전자,8110
311,대림비앤코,5750
312,대양금속,9190
313,대창,12800
314,동국제강,1230
315,동화약품,20
316,두산솔루스,336370
317,디아이동일,1530
318,디아이씨,92200
319,롯데관광개발,32350
320,롯데케미칼,11170
321,맵스리얼티1,94800
322,무학,33920
323,미래아이앤지,7120
324,바다로19호,155900
325,부산주공,5030
326,비케이탑스,30790
327,비티원,101140
328,사조씨푸드,14710
329,삼성물산,28260
330,삼성전자,5930
331,삼성제약,1360
332,삼원강재,23000
333,삼익THK,4380
334,삼일제약,520
335,삼진제약,5500
336,삼화왕관,4450
337,서연,7860
338,선창산업,2820
339,성신양회,4980
340,세기상사,2420
341,세아특수강,19440
342,세우글로벌,13000
343,세원정공,21820
344,세진중공업,75580
345,세화아이엠씨,145210
346,셀트리온,68270
347,신라교역,4970
348,신성통상,5390
349,신세계,4170
350,신풍제약,19170
351,아모레퍼시픽,90430
352,아세아,2030
353,아이에스동서,10780
354,에스제이엠,123700
355,에이리츠,140910
356,에이엔피,15260
357,엔케이,85310
358,엔피씨,4250
359,영원무역홀딩스,9970
360,우리들휴브레인,118000
361,우신시스템,17370
362,우진,105840
363,우진플라임,49800
364,유니드,14830
365,유진증권,1200
366,이건산업,8250
367,이연제약,102460
368,인스코비,6490
369,잇츠한불,226320
370,조광페인트,4910
371,조선내화,480
372,지누스,13890
373,진에어,272450
374,참엔지니어링,9310
375,케이씨씨,2380
376,케이씨씨글라스,344820
377,코리아오토글라스,152330
378,코오롱글로벌,3070
379,태경케미컬,6890
380,태광산업,3240
381,토니모리,214420
382,페이퍼코리아,1020
383,포스코,5490
384,하나제약,293480
385,한국쉘석유,2960
386,한국화장품제조,3350
387,한미글로벌,53690
388,한솔피엔에스,10420
389,한양증권,1750
390,한진중공업,97230
391,한진중공업홀딩스,3480
392,한진칼,180640
393,한화,880
394,한화솔루션,9830
395,현대일렉트릭,267260
396,현대제철,4020
397,황금에스티,32560
398,AK홀딩스,6840
399,CJ씨푸드,11150
400,DB금융투자,16610
401,DGB금융지주,139130
402,E1,17940
403,F&F,7700
404,KC코트렐,119650
405,KEC,92220
406,KISCO홀딩스,1940
407,LG,3550
408,LG디스플레이,34220
409,LS전선아시아,229640
410,NH프라임리츠,338100
411,S&T중공업,3570
412,S&T홀딩스,36530
413,S-Oil,10950
414,SK네트웍스,1740
415,경동인베스트,12320
416,계룡건설산업,13580
417,고려제강,2240
418,국동,5320
419,남양유업,3920
420,노루페인트,90350
421,대상,1680
422,대성홀딩스,16710
423,대우조선해양,42660
424,대호에이엘,69460
425,덴티움,145720
426,동원F&B,49770
427,두산중공업,34020
428,롯데제과,280360
429,만호제강,1080
430,모나미,5360
431,문배철강,8420
432,미창석유공업,3650
433,백광산업,1340
434,벽산,7210
435,부광약품,3000
436,부국철강,26940
437,부산도시가스,15350
438,비상교육,100220
439,사조산업,7160
440,삼성공조,6660
441,삼성생명,32830
442,삼성전기,9150
443,삼양패키징,272550
444,삼화전기,9470
445,샘표,7540
446,서흥,8490
447,세하,27970
448,수산중공업,17550
449,신세계I&C,35510
450,신세계건설,34300
451,신영와코루,5800
452,신영증권,1720
453,신원,9270
454,신풍제지,2870
455,아주캐피탈,33660
456,에스엘,5850
457,에이프로젠 KIC,7460
458,엘브이엠씨,900140
459,엘에스일렉트릭,10120
460,오리온,271560
461,우리금융지주,316140
462,우성사료,6980
463,웰바이오텍,10600
464,유니온,910
465,유안타증권,3470
466,일진머티리얼즈,20150
467,일진전기,103590
468,조광피혁,4700
469,조일알미늄,18470
470,진흥기업,2780
471,카카오,35720
472,케이씨티시,9070
473,케이티,30200
474,코리안리,3690
475,코스맥스비티아이,44820
476,크라운제과,264900
477,크라운해태홀딩스,5740
478,태림포장,11280
479,태원물산,1420
480,티에이치엔,19180
481,팬오션,28670
482,평화산업,90080
483,하나투어,39130
484,하이골드12호,172580
485,한국프랜지공업,10100
486,한독,2390
487,한세엠케이,69640
488,한솔제지,213500
489,한솔케미칼,14680
490,한솔테크닉스,4710
491,한온시스템,18880
492,한진,2320
493,해성디에스,195870
494,현대리바트,79430
495,현대해상,1450
496,혜인,3010
497,화성산업,2460
498,휴비스,79980
499,CS홀딩스,590
500,DB,12030
501,DB손해보험,5830
502,GS리테일,7070
503,HDC,12630
504,JW생명과학,234080
505,KC그린홀딩스,9440
506,KR모터스,40
507,LG유플러스,32640
508,SPC삼립,5610
509,경농,2100
510,경동도시가스,267290
511,경방,50
512,광동제약,9290
513,광주신세계,37710
514,국도화학,7690
515,금비,8870
516,금호타이어,73240
517,남영비비안,2070
518,대림산업,210
519,대림통상,6570
520,대신증권,3540
521,대웅,3090
522,대원강업,430
523,대원전선,6340
524,대원화성,24890
525,대유에이텍,2880
526,더블유게임즈,192080
527,동부건설,5960
528,동성제약,2210
529,동양고속,84670
530,동양철관,8970
531,동원수산,30720
532,롯데쇼핑,23530
533,롯데지주,4990
534,메리츠화재,60
535,미원에스씨,268280
536,부산산업,11390
537,삼광글라스,5090
538,삼성엔지니어링,28050
539,삼익악기,2450
540,삼천리,4690
541,서울식품공업,4410
542,성창기업지주,180
543,세종공업,33530
544,시디즈,134790
545,신도리코,29530
546,쎌마테라퓨틱스,15540
547,씨아이테크,4920
548,아모레퍼시픽그룹,2790
549,아시아나IDT,267850
550,아시아나항공,20560
551,알루코,1780
552,에스제이엠홀딩스,25530
553,엔에스쇼핑,138250
554,오뚜기,7310
555,유성기업,2920
556,유양디앤유,11690
557,이리츠코크렙,88260
558,이수페타시스,7660
559,이아이디,93230
560,인디에프,14990
561,인터지스,129260
562,일동홀딩스,230
563,일진홀딩스,15860
564,자이에스앤디,317400
565,자화전자,33240
566,전방,950
567,제이준코스메틱,25620
568,제이콘텐트리,36420
569,제일기획,30000
570,지투알,35000
571,진양폴리우레탄,10640
572,콤텍시스템,31820
573,태경비케이,14580
574,티웨이항공,91810
575,퍼스텍,10820
576,포스코인터내셔널,47050
577,하이골드3호,153360
578,한국ANKOR유전,152550
579,한국내화,10040
580,한국주철관공업,970
581,한국콜마,161890
582,한국화장품,123690
583,한라,14790
584,한미반도체,42700
585,한섬,20000
586,한세실업,105630
587,한솔홈데코,25750
588,한올바이오파마,9420
589,한화손해보험,370
590,핸즈코퍼레이션,143210
591,현대오토에버,307950
592,화승엔터프라이즈,241590
593,화인베스틸,133820
594,화천기계,10660
595,효성중공업,298040
596,효성첨단소재,298050
597,후성,93370
598,휠라홀딩스,81660
599,휴스틸,5010
600,BGF,27410
601,BNK금융지주,138930
602,DB하이텍,990
603,HSD엔진,82740
604,KG동부제철,16380
605,KG케미칼,1390
606,KTB투자증권,30210
607,KTcs,58850
608,LG생활건강,51900
609,SG세계물산,4060
610,SIMPAC,9160
611,SK가스,18670
612,SK디앤디,210980
613,SK렌터카,68400
614,STX엔진,77970
615,STX중공업,71970
616,TCC스틸,2710
617,가온전선,500
618,경보제약,214390
619,계양전기,12200
620,고려산업,2140
621,광전자,17900
622,기아자동차,270
623,넥센,5720
624,넥스트사이언스,3580
625,농심,4370
626,다우기술,23590
627,대림씨엔에스,4440
628,대성산업,128820
629,대유플러스,300
630,대한전선,1440
631,대한제분,1130
632,대한항공,3490
633,대한화섬,3830
634,동남합성,23450
635,동방,4140
636,동아타이어,282690
637,동양피스톤,92780
638,동원시스템즈,14820
639,두산밥캣,241560
640,디와이파워,210540
641,롯데리츠,330590
642,메리츠금융지주,138040
643,무림P&P,9580
644,미원상사,2840
645,방림,3610
646,보령제약,3850
647,사조오양,6090
648,삼아알미늄,6110
649,삼양사,145990
650,삼호개발,10960
651,삼화전자공업,11230
652,삼화페인트공업,390
653,새론오토모티브,75180
654,성문전자,14910
655,세아베스틸,1430
656,세아제강지주,3030
657,쌍방울,102280
658,쌍용양회공업,3410
659,씨에스윈드,112610
660,아남전자,8700
661,아세아제지,2310
662,애경유화,161000
663,에쓰씨엔지니어링,23960
664,에어부산,298690
665,엔케이물산,9810
666,영원무역,111770
667,영흥,12160
668,오리엔트바이오,2630
669,오리온홀딩스,1800
670,용평리조트,70960
671,웅진,16880
672,원림,5820
673,유니퀘스트,77500
674,이엔플러스,74610
675,일동제약,249420
676,일신석재,7110
677,일양약품,7570
678,주연테크,44380
679,지코,10580
680,진양산업,3780
681,케이비아이동국실업,1620
682,케이씨,29460
683,케이티스카이라이프,53210
684,코오롱,2020
685,키움증권,39490
686,티웨이홀딩스,4870
687,파미셀,5690
688,평화홀딩스,10770
689,풀무원,17810
690,하이트진로홀딩스,140
691,한국단자공업,25540
692,한국조선해양,9540
693,한국카본,17960
694,한농화성,11500
695,한신공영,4960
696,한익스프레스,14130
697,한전기술,52690
698,한화투자증권,3530
699,현대글로비스,86280
700,형지엘리트,93240
701,화승알앤에이,13520
702,효성티앤씨,298020
703,BYC,1460
704,HMM,11200
705,JB금융지주,175330
706,LS네트웍스,680
707,SK,34730
708,SK디스커버리,6120
709,SK케미칼,285130
710,강남제비스코,860
711,경동나비엔,9450
712,광명전기,17040
713,그린케미칼,83420
714,금호석유화학,11780
715,깨끗한나라,4540
716,남광토건,1260
717,노루홀딩스,320
718,대동공업,490
719,대상홀딩스,84690
720,대성에너지,117580
721,대우부품,9320
722,대창단조,15230
723,도화엔지니어링,2150
724,동성화학,5190
725,동아에스티,170900
726,동아지질,28100
727,동양물산기업,2900
728,동일고무벨트,163560
729,동일산업,4890
730,동일제강,2690
731,두올,16740
732,롯데푸드,2270
733,롯데하이마트,71840
734,모나리자,12690
735,무림페이퍼,9200
736,미래산업,25560
737,미래에셋대우,6800
738,보해양조,890
739,삼화콘덴서공업,1820
740,상신브레이크,41650
