Date,Open,High,Low,Close,Volume
2015-07-29,42229.73,44118.44,41890.73,42423.44,1608532
2015-07-30,41551.73,41600.16,39566.16,39566.16,2433565
2015-07-31,39517.73,40389.44,39033.44,39324.01,1217552
2015-08-03,39324.01,40389.44,39275.59,39759.87,889689
2015-08-04,39711.44,40486.3,39711.44,40389.44,741063
2015-08-05,40631.58,41164.3,39905.16,40195.73,723011
2015-08-06,40437.87,40825.29,39808.29,39856.72,806351
2015-08-07,39953.58,40098.87,39275.58,39372.44,706498
2015-08-10,39420.87,39469.3,38452.3,39033.44,761267
2015-08-11,39372.44,39469.3,38694.44,38742.87,679248
2015-08-12,38355.44,39905.15,38355.44,39081.87,807710
2015-08-13,39275.58,40002.01,38985.01,39614.58,575165
2015-08-14,39614.58,39614.58,39614.58,39614.58,0
2015-08-17,39808.3,39905.16,39033.44,39033.44,441394
2015-08-18,39081.87,40098.87,39033.44,40050.44,685759
2015-08-19,39856.73,40050.44,38791.3,39178.73,927262
2015-08-20,38985.01,39711.44,38985.01,39178.73,582590
2015-08-21,38113.3,38888.16,38064.87,38549.16,1047950
2015-08-24,38258.58,40147.3,38258.58,38888.16,1284327
2015-08-25,39324.01,40098.87,38597.58,39566.16,1220319
2015-08-26,40195.73,42181.3,40195.73,42084.44,2251863
2015-08-27,43004.58,43246.72,41890.72,41939.15,1359490
2015-08-28,42423.44,43101.44,42375.02,42714.02,1059845
2015-08-31,42956.16,43488.87,42132.87,43101.44,897313
2015-09-01,43004.59,43004.59,41987.59,41987.59,744504
2015-09-02,41358.01,42665.59,41261.16,42665.59,626566
2015-09-03,42665.58,43295.16,42617.16,43101.44,712693
2015-09-04,43101.44,43198.3,41745.44,42132.87,807397
2015-09-07,42084.44,42229.73,41454.87,41842.3,428716
2015-09-08,42181.3,44941.73,41551.73,44651.16,2265288
2015-09-09,45522.87,46007.16,44602.73,45522.87,1602843
2015-09-10,44699.58,45329.16,44166.87,44796.44,1191751
2015-09-11,45038.59,45813.44,44941.73,45571.3,913807
2015-09-14,45765.01,45813.44,43924.73,43973.16,796472
2015-09-15,44360.58,44796.44,43779.44,44457.44,533973
2015-09-16,44796.44,45522.87,44360.59,45522.87,769688
2015-09-17,45813.44,46007.16,45183.87,45426.02,563986
2015-09-18,45571.3,45765.01,44990.15,45716.58,604337
2015-09-21,45038.58,45522.87,44893.3,44941.73,337350
2015-09-22,44941.73,45087.02,43827.87,44602.73,646608
2015-09-23,44166.87,44360.59,43343.59,43343.59,704343
2015-09-24,43198.3,43682.59,42568.73,42907.73,631696
2015-09-25,42810.87,43440.44,42520.3,43392.02,418976
2015-09-30,42568.73,44215.3,42568.73,44215.3,585511
2015-10-01,44263.73,44360.59,43682.59,44215.3,388121
2015-10-02,44699.58,44990.16,43585.73,43585.73,504825
2015-10-05,44021.59,44070.01,43004.59,43149.87,505037
2015-10-06,43440.44,43682.59,43101.44,43392.02,344629
2015-10-07,43392.01,44844.87,42859.3,44844.87,792120
2015-10-08,45329.16,45619.73,44699.59,45522.87,707904
2015-10-12,45910.3,45958.73,45087.01,45668.16,723164
2015-10-13,45668.16,45668.16,44554.3,44651.16,780065
2015-10-14,44748.01,44941.73,43876.3,44699.59,724993
2015-10-15,44118.44,45329.16,44118.44,45280.73,516628
2015-10-16,45280.72,45426.01,44409.01,44505.87,390747
2015-10-19,44651.16,45329.16,44602.73,45329.16,354715
2015-10-20,45522.87,45716.59,45087.01,45377.59,440925
2015-10-21,46007.15,52399.73,45958.73,51915.44,6683944
2015-10-22,52787.15,54336.87,51528.01,51528.01,4787558
2015-10-23,52690.31,53077.73,50559.45,51334.3,1748350
2015-10-26,52206.01,52980.87,51431.16,51915.44,1434821
