Date,Open,High,Low,Close,Volume
2015-07-30,111361.62,111361.62,99290.96,100848.46,3718640
2015-07-31,98901.59,102016.6,98317.53,101821.91,1377630
2015-08-03,101237.84,102211.28,100653.78,101237.84,625390
2015-08-04,101237.85,102600.66,100848.47,102405.98,538645
2015-08-05,103379.42,103379.42,100848.47,102211.29,575545
2015-08-06,102405.98,102600.66,100264.41,100459.09,840720
2015-08-07,100264.41,101043.16,97344.09,97538.77,1272735
2015-08-10,98706.9,100264.41,97928.15,99485.66,610825
2015-08-11,101432.54,103184.73,100459.1,101821.91,593535
2015-08-12,101627.22,103963.48,100653.78,102795.35,766330
2015-08-13,100459.1,102211.29,99680.35,101043.16,585205
2015-08-14,101043.16,101043.16,101043.16,101043.16,0
2015-08-17,99875.03,101237.84,99290.96,99290.96,381550
2015-08-18,99680.34,102211.28,99485.65,101627.22,470980
2015-08-19,100459.09,102600.66,100459.09,102016.59,640610
2015-08-20,104158.17,104742.24,101043.16,101432.54,501140
2015-08-21,102211.29,102405.98,98706.9,100459.09,487880
2015-08-24,98512.21,100264.4,96467.98,97344.08,620215
2015-08-25,96760.02,97733.46,93839.7,95689.23,958830
2015-08-26,95397.2,97928.15,94229.07,95202.52,1049370
2015-08-27,96467.98,97733.45,94715.79,94910.48,734575
2015-08-28,95689.24,96662.68,93547.67,95007.83,957350
2015-08-31,94910.47,96467.98,91698.12,96467.98,896950
2015-09-01,96467.99,97538.77,92476.88,92671.57,688555
2015-09-02,91600.78,92184.84,89945.93,90724.68,803095
2015-09-03,90724.68,93450.32,90724.68,91600.78,794535
2015-09-04,91600.78,93742.35,90822.03,91406.09,495045
2015-09-07,92087.5,92671.56,90724.68,92379.53,432215
2015-09-08,92574.22,93060.94,89167.18,89848.59,486730
2015-09-09,90919.38,97733.46,90919.38,97538.77,836235
2015-09-10,95397.2,97733.45,95397.2,97344.08,758425
2015-09-11,95981.27,96467.99,94521.11,95105.17,488830
2015-09-14,95397.2,95494.55,91114.06,92671.57,741250
2015-09-15,92476.88,93352.97,91114.06,91600.78,616850
2015-09-16,91892.81,93742.34,91211.4,93742.34,653565
2015-09-17,94229.07,100264.4,94131.72,99290.96,1131080
2015-09-18,100264.4,100848.47,97052.05,99096.27,497360
2015-09-21,99096.27,99096.27,97246.73,97344.08,248630
2015-09-22,98317.52,98901.59,96273.3,96565.33,394635
2015-09-23,95689.23,100848.47,95105.17,98317.52,991005
2015-09-24,99680.33,100459.08,97928.14,98512.2,565765
2015-09-25,98706.9,99680.34,97246.74,98901.59,221535
2015-09-30,100264.41,100264.41,97344.09,99875.03,652740
2015-10-01,100848.47,106299.74,99875.03,106299.74,1004490
2015-10-02,107078.48,107273.17,104158.16,107078.48,702940
2015-10-05,106883.81,109609.44,104547.55,105715.68,535860
