Date,Open,High,Low,Close
2017-07-28,14818.89,14818.89,14098.77,14211.85
2017-07-31,14110.68,14354.68,13961.89,14342.78
2017-08-01,14283.27,14533.22,14146.39,14461.81
2017-08-02,14640.35,14682.01,14461.81,14580.84
2017-08-03,14580.83,14580.83,14021.41,14217.8
2017-08-04,14330.88,14336.83,14134.48,14194.0
2017-08-07,14134.48,14307.07,14116.63,14158.29
2017-08-08,14277.31,14360.63,14128.53,14199.95
2017-08-09,14104.73,14104.73,13759.55,13771.45
2017-08-10,13747.64,13783.35,13527.44,13658.37
2017-08-11,13426.27,13479.83,13158.46,13277.49
2017-08-14,13426.27,13509.59,13307.24,13390.56
2017-08-16,13753.6,13801.21,13688.13,13747.64
2017-08-17,13973.8,14074.97,13908.33,13997.6
2017-08-18,13914.28,14057.12,13759.55,13955.94
2017-08-21,14057.12,14057.12,13860.72,13938.09
2017-08-22,13932.14,14033.31,13896.43,13985.7
2017-08-23,14217.8,14217.8,14039.26,14128.53
2017-08-24,14140.43,14182.09,14086.87,14140.43
2017-08-25,14247.56,14247.56,13902.38,13991.65
2017-08-28,13991.65,14057.11,13676.23,13717.89
2017-08-29,13581.01,13711.94,13438.17,13711.94
2017-08-30,13801.21,13807.16,13676.23,13747.64
2017-08-31,13753.59,13878.57,13688.13,13783.35
2017-09-01,13825.01,13878.57,13777.4,13830.96
2017-09-04,13622.67,13795.25,13539.35,13700.03
2017-09-05,13759.55,13955.94,13676.23,13914.28
2017-09-06,13914.28,14039.26,13896.43,13985.7
2017-09-07,13985.7,14348.73,13985.7,14318.98
2017-09-08,14491.56,14634.4,14455.86,14604.64
2017-09-11,14789.13,14931.97,14729.62,14818.89
2017-09-12,14937.92,14943.87,14622.5,14759.38
2017-09-13,14824.84,14997.43,14711.77,14765.33
2017-09-14,14896.26,14973.63,14806.99,14967.67
2017-09-15,14967.67,15045.04,14836.74,14997.43
2017-09-18,15039.09,15616.37,15033.14,15616.37
2017-09-19,15622.32,15663.98,15408.08,15509.25
2017-09-20,15509.25,15622.32,15425.93,15539.0
2017-09-21,15539.0,15759.2,15539.0,15711.59
2017-09-25,15771.11,15973.45,15771.11,15955.6
2017-09-26,15955.6,15955.6,15955.6,15955.6
2017-09-27,15473.54,15533.05,15324.76,15378.32
2017-09-28,17987.26,18056.1,17643.07,17643.07
2017-09-29,17615.54,17766.98,17498.51,17649.96
2017-10-10,18365.87,18462.24,18173.12,18173.12
2017-10-11,18448.47,18847.73,18358.99,18806.43
2017-10-12,18875.27,18985.41,18620.57,18861.5
