Date,Open,High,Low,Close,Volume
2015-07-30,131581.13,135622.87,129784.8,134724.7,1233619
2015-07-31,134275.61,135622.86,131132.04,133826.53,746904
2015-08-03,133377.46,134724.7,128886.63,128886.63,753561
2015-08-04,126641.22,130682.97,126192.14,129335.72,368056
2015-08-05,129784.8,131581.13,127539.38,130682.96,358304
2015-08-06,129335.72,129784.8,123946.73,125293.98,829920
2015-08-07,124844.89,124844.89,120803.15,123946.73,581892
2015-08-10,124395.81,127090.3,122599.48,125743.05,367835
2015-08-11,126641.23,127539.39,123946.73,124844.9,384972
2015-08-12,125293.99,134275.64,124844.91,131132.06,1656891
2015-08-13,130233.89,132030.22,127988.48,129784.8,957016
2015-08-14,129784.8,129784.8,129784.8,129784.8,0
2015-08-17,128886.63,131132.04,128886.63,128886.63,449849
2015-08-18,129784.81,133377.47,129335.73,131581.14,628892
2015-08-19,130682.96,133826.54,130682.96,132928.38,810111
2015-08-20,132030.2,134275.61,131132.04,133826.53,697471
2015-08-21,130233.9,132479.31,128886.65,131132.06,818191
2015-08-24,130233.89,131581.14,125743.06,127988.48,810847
2015-08-25,129784.82,136970.14,127988.49,132479.31,1279827
2015-08-26,133377.46,136970.11,132479.29,134724.7,803308
2015-08-27,136970.11,138317.36,130682.96,132030.2,867600
2015-08-28,132030.21,133826.54,128886.64,129335.72,926743
2015-08-31,129335.71,133826.53,127090.3,133826.53,767410
2015-09-01,132030.22,133377.47,130233.89,131581.14,437156
2015-09-02,131132.05,138317.36,131132.05,136071.95,1131571
2015-09-03,136071.96,137419.21,134724.72,136521.05,529122
2015-09-04,136521.03,136521.03,133377.46,134724.7,439322
2015-09-07,133826.55,137868.29,133826.55,136521.05,640220
2015-09-08,136521.02,141460.93,136521.02,140562.77,852958
2015-09-09,141011.86,141460.94,137868.28,139664.61,609850
2015-09-10,140113.68,141910.01,139215.52,140562.77,742873
2015-09-11,140113.69,142808.18,139215.52,140113.69,649365
2015-09-14,139664.62,140562.78,136970.12,138766.45,473618
2015-09-15,138766.44,142359.09,138766.44,140562.77,935039
2015-09-16,141460.95,147748.11,141011.87,146400.86,1158524
2015-09-17,146849.92,147299.0,143257.26,146849.92,648686
2015-09-18,147299.02,148646.27,143257.28,148646.27,903177
2015-09-21,147748.09,150442.59,141910.02,142808.19,840567
2015-09-22,146400.85,148646.26,144155.44,147299.02,714326
2015-09-23,146400.83,147748.08,141011.84,141011.84,944046
2015-09-24,142808.2,144604.53,141460.95,141910.03,3620370
2015-09-25,146849.92,147748.08,144604.51,145502.67,855109
2015-09-30,141910.03,147299.02,141460.94,147299.02,978742
2015-10-01,147299.01,150891.67,146400.85,150891.67,806534
2015-10-02,150442.6,152238.93,148646.27,149993.52,492926
2015-10-05,150891.67,151340.76,146849.93,147299.02,469905
2015-10-06,145951.77,146400.86,139215.54,141910.03,1289144
2015-10-07,139664.6,144604.5,139664.6,144155.42,532368
2015-10-08,144604.51,146849.92,143257.26,145502.67,568436
2015-10-12,145951.78,146400.86,141910.03,143257.28,517468
2015-10-13,144155.43,147748.09,143706.35,146849.92,721085
2015-10-14,147299.02,148197.19,146400.86,146400.86,602476
2015-10-15,145951.77,147748.1,144604.52,145951.77,495824
2015-10-16,145951.75,146400.83,141910.01,144604.5,628494
2015-10-19,145951.75,145951.75,143257.25,144604.5,333746
2015-10-20,145053.6,146849.93,144604.52,145951.77,335128
