,words
0,휴
1,아이구
2,아이쿠
3,아이고
4,어
5,나
6,우리
7,저희
8,따라
9,의해
10,을
11,를
12,에
13,의
14,가
15,으로
16,로
17,에게
18,뿐이다
19,의거하여
20,근거하여
21,입각하여
22,기준으로
23,예하면
24,예를 들면
25,예를 들자면
26,저
27,소인
28,소생
29,지말고
30,하지마
31,하지마라
32,다른
33,물론
34,또한
35,그리고
36,비길 수 없다
37,해서는 안된다
38,뿐만 아니라
39,만이 아니다
40,만은 아니다
41,막론하고
42,관계없이
43,그치지 않다
44,그러나
45,그런데
46,하지만
47,든간에
48,논하지 않다
49,따지지 않다
50,설사
51,비록
52,더라도
53,아니면
54,만 못하다
55,하는 편이 낫다
56,불문하고
57,향하여
58,향해서
59,향하다
60,쪽으로
61,틈타
62,이용하여
63,타다
64,오르다
65,제외하고
66,이 외에
67,이 밖에
68,하여야
69,비로소
70,한다면 몰라도
71,외에도
72,이곳
73,여기
74,부터
75,기점으로
76,따라서
77,할 생각이다
78,하려고하다
79,이리하여
80,그리하여
81,그렇게 함으로써
82,일때
83,할때
84,앞에서
85,중에서
86,보는데서
87,으로써
88,로써
89,까지
90,해야한다
91,일것이다
92,반드시
93,할줄알다
94,할수있다
95,할수있어
96,임에 틀림없다
97,한다면
98,등
99,등등
100,제
101,겨우
102,단지
103,다만
104,할뿐
105,딩동
106,댕그
107,대해서
108,대하여
109,대하면
110,훨씬
111,얼마나
112,얼마만큼
113,얼마큼
114,남짓
115,여
116,얼마간
117,약간
118,다소
119,좀
120,조금
121,다수
122,몇
123,얼마
124,지만
125,하물며
126,그렇지만
127,이외에도
128,대해 말하자면
129,다음에
130,반대로
131,반대로 말하자면
132,이와 반대로
133,바꾸어서 말하면
134,바꾸어서 한다면
135,만약
136,그렇지않으면
137,까악
138,툭
139,딱
140,삐걱거리다
141,보드득
142,비걱거리다
143,꽈당
144,응당
145,에 가서
146,각
147,각각
148,여러분
149,각종
150,각자
151,제각기
152,하도록하다
153,와
154,과
155,그러므로
156,그래서
157,고로
158,한 까닭에
159,하기 때문에
160,거니와
161,이지만
162,관하여
163,관한
164,과연
165,실로
166,아니나다를까
167,생각한대로
168,진짜로
169,한적이있다
170,하곤하였다
171,하
172,하하
173,허허
174,아하
175,거바
176,오
177,왜
178,어째서
179,무엇때문에
180,어찌
181,하겠는가
182,무슨
183,어디
184,어느곳
185,더군다나
186,더욱이는
187,어느때
188,언제
189,야
190,이봐
191,어이
