,헤드라인,레이블
0,美 2분기 스마트폰 판매량 25% 감소…삼성은 선방,0
1,코로나 보복소비에…삼성·LG TV 판매 '폭발',1
2,[사설] 삼성-현대차 ‘미래차 협력’ 새 성장동력으로 결실 맺기를,1
3,[朝鮮칼럼 The Column] 삼성전자의 애물단지 비메모리를 살린 두 가지 모험,1
4,"삼성 준법감시위, '지멘스' 반면교사삼는다",1
5,"삼성 준법위, 독일 지멘스 ‘준법경영’ 배운다",1
6,"""삼성기술 마스크中企와 공유…K방역 앞장""",1
7,"혼자선 먼 길… 삼성·현대차, 차세대 모빌리티 함께 탄다",1
8,美 엔비디아의 '반란'…삼성전자 시총 턱밑 추격,0
9,"삼성, 하반기 전략 폰·워치·이어폰 '무선충전' 대거 탑재",1
10,"삼성, 하반기 전략제품에 '무선충전' 대거 탑재",1
11,삼성전자 기술 135건 中企에 무상 제공,1
12,"삼성, AI등 미활용 특허기술 135건 中企 78곳에 무상 양도",1
13,"삼성, 기술나눔 사업…中企에 특허 무상제공",1
14,"[기자수첩]갈림길 선 삼성, 사법리스크 이제 끝내나",0
15,"10년 연속 가전애프터서비스 1위… 삼성전자서비스, 능률협회 평가서",1
16,'위기를 기회로'…다시 시험대 오른 노태문 삼성전자 사장,0
17,"노태문 삼성전자 사장 ""갤럭시 신제품 5개, 모바일 경험의 혁신 제공할 것""",1
18,"노태문 사장 ""삼성 갤럭시 언팩서 신제품 5종 공개""",1
19,"내달 5일 '갤럭시 언팩' 여는 삼성전자.. 노태문 사장 ""폴더블폰 지속 선보일...",1
20,"노태문 삼성전자 사장 “5가지 갤럭시 신제품 공개""",1
21,삼성전자도 재택근무·자율좌석제… 코로나發 유연근무제 확산,1
22,美·中·日 반도체 자국주의에 삼성 ‘샌드위치’ 우려,0
23,"[사설]삼성-현대차 협력, 결실 맺어야",1
24,네이버·카카오 팔고 삼성전자·현대차 사는 외국인,1
25,"삼성전자, 지정좌석 없앤다…자율좌석제 시범 도입",1
26,삼성전자도 자율좌석제 시범 도입,1
27,"""업무효율 높이고 창의성 UP"" 삼성전자도 자율좌석제 도입",1
28,"삼성전자 `자율좌석제` 운영… ""창의적 조직문화 형성 기대""",1
29,"삼성전자, 자율좌석제 시범 도입",1
30,"필립스發 `글로벌 가전시장` 새판짜기…삼성·LG, 수조원 베팅할까",1
31,"""보안 전문가들 한 곳에""…삼성보안기술 포럼",1
32,"삼성전자, '제4회 삼성보안기술포럼' 온라인 개최…프라이버시 관련 보안 논의",1
33,삼성보안기술포럼 내달 18일 온라인 개최,1
34,삼성전자 등 주요 전자업계 작년 R&D 4조 늘려,1
35,삼성전자서비스 이번에도 '엄지 척',1
36,"삼성전자서비스, 9년 연속 2020 한국산업의 서비스 품질 지수 1위",1
37,"“LG·샤오미 다 비켜”…삼성, 20만원대 ‘갤A21s’ 오늘부터 사전판매",1
38,"[여명]삼성의 시간, 검찰의 시간",0
39,[매경 인터뷰] 윤종용 前삼성전자 부회장이 말하는 `한국경제`,1
40,"LG전자, 日 NTT도코모와 초경량 AR글라스 개발 착수…내년 출시 전망",1
41,"삼성전자, 글로벌 TV시장 15년째 1위·프리미엄 가전 질주…8월 '괴물폰' 공개",1
42,"외국인, 경기민감주로 이동…네이버 팔고 삼성전자 샀다",1
43,"""유연·자율적 조직문화 조성""…삼성전자, 자율좌석제 도입",1
44,"""오늘은 부장님 자리 앉아볼까"" 삼성전자, 자율좌석제 시범 도입",1
45,삼성증권 “호주 석탄산업 투자 않겠다”…현지 청소년 불매운동에 ‘백기’,0
46,"美, 7월 셋째주 실적 발표 MS·트위터·테슬라 주목...韓, 23일부터 실적 발표...",0
47,삼성전자 ‘보안기술포럼’… 내달 18일 온라인 개최,1
48,"물방울 떨어지자 나비 형상 인폴딩… 삼성, 갤폴드2 티저 영상 공개",1
49,"삼성이 직접 '갤럭시폴드2' 언팩 티저 띄웠다…""8월5일 공개""",1
50,"삼성, 갤폴드2 연상 ‘티저 영상’ 공개",1
51,[이번주추천주]카카오·삼성전자 등 하반기 실적개선 기대株 주목,1
52,"삼성바이오로직스, 선제투자 주효...석달새 의약품 1.8조 수주",1
53,"""헤지펀드가 311억 투자해 삼성 주주되면 삼성전자 子회사에 다중대표소송 가...",0
54,"""상법개정안, 경영권 위협 수단 우려""",0
55,5G도 확 오지 않았는데…삼성은 벌써 6G 얘기 하네,1
56,삼성전자 '갤럭시 A21s' 24일 출시…29만7000원,1
57,삼성 20만원대 휴대폰 `갤럭시 A21s` 나온다,1
58,"삼성, 20만원대 갤럭시 A21s 출시",1
59,삼성전자 29만원대 '갤럭시 A21s' 사전 판매,1
60,프리미엄 품은 20만원대 삼성스마트폰,1
61,"대덕전자 3일간 30% 넘게 급등…""비메모리 반도체 설비에 900억 투자""",1
62,반도체 육성 나선 日···'삼성 라이벌'에 손짓,0
63,'반도체 산업 재건' 대만에 먼저 손내민 일본,0
64,'노조와해 의혹' 삼성전자 임원진 항소심 선고 [이주의 재판 일정],0
65,파운드리시장 파고드는 中 SMIC…IPO로 TSMC·삼성전자 추격,0
66,"삼성, 미래차 반도체 승부수…""엔비디아 추격""",1
67,"박일평 LG전자 사장, IFA서 뉴노멀 시대 고객가치 알린다",1
68,글로벌 TV시장 회복세… 삼성·LG제품 완판행진,1
69,"위기에 강했던 삼성, 그리고 흑역사 [책과 삶]",1
70,"배터리→디스플레이→電場 계열사 순회한 이재용…""소부장은 삼성""",1
71,“도대체 뭐가 나오나” 오락가락 삼성언팩 ‘완전 정리’ [IT선빵!],1
72,삼성 ‘LED 사이니지’ 밀라노 패션쇼 빛내다,1
73,"삼성전자, 中企에 스마트공장 설비 구축… 5년간 500억 지원 ‘나눔의 선순환...",1
74,[사진] 부산 삼성전기 찾은 이재용 부회장,1
75,“끊임없이 도전하자” 이재용 또 현장 경영,1
76,"[사설] 삼성 가전 16년 만의 국내 투자, 노동·규제개혁으로 화답해야",1
77,반도체 자립도 높이는 중국..삼성과 기술격차 줄어든다,0
78,"이재용, 현장점검 잰걸음… 이번엔 삼성전기",0
79,"이재용 부회장, 삼성전기 전장 MLCC 사업 점검…""끊임없이 도전하자""",1
80,'전자산업의 쌀' 찾아간 이재용…모빌리티 혁신 씨 뿌렸다,1
81,MLCC 공장 찾아 미래시장 선점 위한 적극 대응 주문,1
82,미래사업 챙기는 이재용…이번엔 車전장부품,1
83,"삼성, 대형 M&A 재추진 가능성… 사법리스크 최대 변수",0
84,"삼성·LG전자, CES 등 내년 해외행사 참석 고심",0
85,[단독] 삼성 가전의 글로벌 거점으로…광주가 들썩인다,1
86,"이재용, 삼성전기 전장부품 공장 방문… '미래 먹거리' 챙기기 행보",1
87,[책꽂이-삼성 라이징]외국인 기자가 10년간 파고 든 ‘삼성’의 역사,1
88,"삼성, 이불까지 말려주는 국내 최대 용량 건조기 출시",1
89,삼성전자 ‘국내 최대용량 17㎏’ AI건조기 출시,1
90,"[포토] 삼성, 국내 첫 에너지효율 1등급 17㎏ 건조기",1
91,큰 이불도 너끈한 삼성건조기… 에너지효율 `1등급` 17kg용량,1
92,"삼성전자, 소상공인에게 구매 혜택 준다",1
93,"삼성, 국내 최대 17㎏ 건조기 내놓다",1
94,"국내 유일 에너지 1등급…삼성, 17kg 건조기 출시",1
95,삼성전자로 돌아오는 外人…지난달부터 1兆 순매수,1
96,"TSMC, 화웨이 잃고도 반도체 시총 1위… 삼성 추격전 '암운'",0
97,화웨이 5G장비 유럽서 잇따라 퇴출… 삼성전자 반사이익 가능성,1
98,상승세 탄 삼성전자·SK하이닉스… 하반기도 웃을까,1
99,"삼성전자, 사랑의열매에 250억원 지원",1
100,“청소년 홀로서기 응원” 삼성 희망디딤돌 확대,1
101,"삼성전자, 보호 종료 청소년지원 전국 확대",1
102,"삼성전자, '삼성 희망디딤돌' 2기 사업 시작···보호종료 청소년 돕는다",1
103,청소년 자립 돕는 '삼성 희망디딤돌' 전국 확대,1
104,"김현석 삼성전자 사장 '절박한 토로'…""삼성, 위기의 한복판…리더 역할 더 절...",0
105,"""삼성 가전 내년 더 큰 위기…리더역할 중요한때""",0
106,"삼성전자, 샤프서 LCD 패널 공급 받았다..LGD와 계약도 추진",1
107,"삼성-LG, 베스트바이서 55·65인치 TV 품절…'코로나 보복 소비'로 TV 시장 부...",1
108,삼성전자 '보호종료' 청소년에 250억 더 푼다,1
