,헤드라인
0,[부음]윤갑한(전 현대자동차 대표이사)씨 부친상
1,"현대車, 렌터카 3社와 '데이터 동맹'"
2,"현대차그룹, 롯데렌탈·SK렌터카·쏘카와 데이터 교류 '맞손'"
3,“데이터가 관건”… 현대차 ‘새 모빌리티 생태계’ 협업
4,"현대차그룹, 쏘카·롯데렌탈·SK렌터카와 미래 모빌리티 함께 만든다"
5,현대차 ‘미래 모빌리티’ 생태계 만든다
6,"현대차, 렌터카 업계와 모빌리티 생태계 구축"
7,"현대차, 사회공헌활동 단체·개인 포상"
8,"현대건설, 빌트인 음성인식시스템 선봬"
9,현대차 이노션 대표 11년 만에 ‘새 얼굴’
10,"현대車그룹 이노션 대표 이용우씨, 인재개발원장엔 송미영씨"
11,"[인사] 현대차, 이노션 대표에 이용우 사장 내정"
12,이노션 새 대표에 제네시스 이용우 부사장
13,"손잡은 울산 노사정 ""車산업 위기 넘자"""
14,이노션 대표에 이용우…현대차 세대교체
15,이노션 대표 11년 만에 교체…'영업통' 이용우 사장 내정
16,현대차그룹 임원인사… 이노션 대표에 이용우
17,"현대차, 이노션 대표이사에 이용우 부사장 내정"
18,中 '현대상용차' 판매 3배↑···속도경영으로 부활 기지개
19,11년만 이노션 대표 교체···40대 여성 상무 현대차 인재개발원장
20,"현대차, 전주시에 국내 '수소전기버스 1호차' 전달"
21,"현대차·SK, 배터리 동맹 결실…내달 `서비스 플랫폼` MOU체결"
22,"정의선-최태원 동맹, 전기차 대중화 시대 속도낸다"
23,이칠환 대표 “수소연료전지 시스템 공급사 ‘현대차’는 최고의 파트너”
24,"[경제 브리핑] 현대차, 러시아 GM공장 인수 신청서 접수"
25,"현대로템, 의왕에 수소리포머 공장 건설"
26,"현대로템, 의왕에 수소리포머 공장…10월부터 천연가스에서 수소 생산"
27,"현대차, 러시아 GM공장 부지 인수 추진"
28,"현대차, 러시아 ‘GM공장’ 인수 신청서 제출"
29,현대자동차에 키 납품하던 풍안··· 이번엔 '항균 동(銅)접시' 도전장
30,"현대로템, 수소리포머 의왕공장 구축…""생산유발효과 500억원"""
31,"현대로템, 수소 충전설비 공급 사업 본격화"
32,"'그린뉴딜' 올라탄 현대로템, 의왕에 '수소리포머' 공장 건설"
33,"현대차, 차량 실내 공기 좋게하는 ‘퀄리티 에어’ 기술 개발"
34,"현대차, `협력사 테크 페스티벌` 열어 우수기술 전시·포상"
35,[R&D 상생경영] 기업들 미래기술 투자 `올인`…상생으로 위기 넘는다
36,"車내부 곰팡이-먼지 제거, 현대차 새 공조기술 개발"
37,"현대車 ""폐쇄된 러시아 GM공장 인수 신청서 제출"""
38,[이슈 프리즘] 위기에 '역주행'하는 한국 노조
39,"현대차, 인공지능 인재 모셔라 특명…에어즈 컴퍼니 ‘진화’"
40,"현대차-관광재단, 관광약자 여행활동 지원 MOU"
41,"현대모비스, 전동화 부문 매출 3兆 달성 '청신호'"
42,"현대차 '퀄리티 에어' 기술, 신차에 적용"
43,"하반기 출시 현대·기아차, 차량 실내 공기질 더 좋아진다"
44,"""車내 공기를 쾌적하게"" 현대차그룹 '퀄리티 에어' 기술 개발"
45,제네시스 신차에 '맑은 공기' 첨단기술
46,"현대차-서울관광재단, 관광약자 여행 활성화 MOU"
47,"현대차-서울관광재단, 관광 약자 여행 활동 지원에 협력"
48,"현대차-서울관광재단, 관광약자 여행 돕는다"
49,"현대차-서울관광재단, '관광약자 여행활동 지원 업무협약' 체결"
50,"현대자동차, 수소전기車 ‘친환경 질주’ 22년"
51,'수십만원 사제품 달까말까' 현대·기아차 애프터블로우 기본 탑재
52,현대차 車안 공기 정화기술
53,현대차 ‘브릴리언트 키즈 모터쇼’ 작품 공모
54,"LG 74건·삼성 46건·현대차 32건 소송 시달려…""비즈니스 집중 못해"""
55,"현대차, '제5회 브릴리언트 키즈 모터쇼' 비대면 온라인 개최"
56,현대차 '키즈 모터쇼' 작품 공모
57,미래車 가속페달 밟는 현대·기아차..전기차 100만대 시대 주도
58,민주노총엔 23억 '쾌척'…회사엔 순익 30% 요구한 현대차 노조
59,"""현대 모터스튜디오서 미래 모빌리티 체험"""
60,"현대기아차, 올 하반기엔 신차 타고 달린다"
61,"현대차 ""모빌리티의 미래, 직접 보고 즐기세요"""
62,‘현대 모터스튜디오 고양’ 재탄생
63,"현대 모터스튜디오 고양, 미래 모빌리티 전시관 탈바꿈"
64,"현대차 실적 반토막인데, 노조 ""작년 이익 30% 성과급 달라"""
65,"스트라드비전, 딥러닝 SW로 자율주행차 '성능 업'"
66,"[타이어&액세서리] 아이파킹, 론칭 5년만에 누적주차 4억대 돌파"
67,"""3분기 숨고른 후 4분기 상승…외국인 돌아와 박스권 돌파"""
68,코로나19 극복 희망캠페인 동참
69,하언태 사장 '코로나 극복' 캠페인
70,하언태 사장 코로나극복 응원
71,"SKT, 협업으로 스마트팩토리 시장 공략"
72,[부고]
73,"4층규모 `카타워` 설치미술 방불… ""프리미엄 이상의 경험"""
74,46단계 고급 방문세차 앱 “123조 카케어 시장이 최종 목표”
75,"이재용이 미래 건 MLCC…삼성전기, 中에 공장 지어 日 잡는다"
76,"수요응답형 교통, 공유주차...ICT결합 모빌리티 혁신 지역 곳곳에서 성과"
77,알펜루트 채권펀드 또 환매 연기
78,‘구광모의 뉴LG’ 시총 100조 복귀… 더 뾰족해진 미래 먹거리 ‘삼지창’
79,"[목멱칼럼]벤처캐피탈, 다시 구원투수로 되려면"
80,[기자수첩] 오너의 책임경영
81,세계석학과 `차세대 배터리` 손잡은 SK이노
82,상반기 전기차 보조금…테슬라·중국 버스가 '싹쓸이'
83,지배구조 개선한다는 `박용진法`…기업 사냥꾼에 먹잇감만
84,한국게이츠 “대구공장 닫고 철수”… 노조측 “일방적인 먹튀” 강력 반발
85,"""이런 기록 없었다""…'카니발' 사전계약 첫 날 2.3만대 초대박"
86,7월 28일 알림
87,[부고] 황수빈씨 별세 외
88,"""소리로 불량 잡아 수백억 절감"" SKT, AI 기반 스마트팩토리 구축"
89,[부고] 김인숙씨 外
90,광고株 실적 우려 지나쳤나…제일기획 '기지개'
91,배터리 이은 `카 빅데이터 동맹`… 미래모빌리티 보폭 넓히는 정의선
92,차박 캠핑 인기몰이…레저용 차량·SUV 각광
93,평범한 가족이야기로 공감…싼타페 유튜브 450만회넘겨
94,"기아차, 신형 카니발 사전계약…3160만원부터"
95,"효성, 수소차 넥쏘 올라탄다…'12조 탄소섬유 시장' 공략 시동"
96,美에 `새 둥지` 튼 韓제약사들… 온라인채널로 글로벌 공략
97,"""MS 실적은 경기 지표"""
98,'엘리엇 악몽' 잊었나…투기자본 공격에 기업들 눈뜨고 당할판
99,[렌탈&파이낸스] `테슬라 모델3` 단기 렌탈로 이용해볼까
100,"[왜냐면] 한국판 그린뉴딜, 담론부터 다시 / 지현영"
101,7월 28일 궂긴소식
102,제네시스 전 차종 구매 상담부터 시승까지 ‘원스톱 서비스’
103,"""코로나 충격 컸다""…기업 3곳 중 2곳 실적 악화"
104,"삼성전자, '포브스 브랜드 가치' 8위···글로벌 1위는 애플"
105,"<포스트 코로나, ‘相生’으로 주도한다>잎담배 농가 복지비용 4억 지원… 농..."
106,돈되는 '착한 투자'…ESG펀드 인기몰이
107,丁총리 “제복 공무원 헌신 있기에 국가 존립”
108,[부음] 길흥 前 비제이기획 대표 별세 외
109,부고
110,"추격하는 日… 도요타, 2025년 전고체 배터리 상용화"
111,"소상공인 ""비용 줄이자""…LPG 1t트럭 판매↑"
112,9만불 vs 18만불…한국車 생산성 '독일의 절반'
113,버넥트·맥스트·레티널…실감경제 누비는 토종 스타트업
114,"車 노사 ""임단협 협상 주기 2~3년 이상 늘려야"" 위기 속 공감대"
115,모든 제네시스 한곳에..수지 전시관 오픈
116,SUV·세단 '왕들의 귀환'…하반기 新車 전쟁
117,‘더 뉴 싼타페’ 힘 넘치는 고속주행… 플랫폼·파워트레인 바꾼 ‘신차급 부...
118,[기자24시] `나 혼자 산다`식 車노조 투쟁
