,헤드라인
0,NAVER 목표주가 40만원 돌파···증권사들 상향 잇달아
1,"달라질 연말 시총...""NAVER 3위·셀트리온 4위·현대차 8위"""
2,"'NAVER+카카오' 시총, SK하이닉스 앞질렀다"
3,"Naver reshuffles internet cartoon business, seeks global expansion"
4,Naver-backed VC names head of Startup Alliance as new co-chief
5,20만원 문턱 눈앞 ‘NAVER’…잠시 주춤할 때 투자해볼까?
6,삼전·NAVER·엔씨소프트…'코로나 무풍지대'서 쇼핑한 연기금
7,“NAVER마저…” 액면분할 마법은 없다
8,"Naver to show news commenters’ full user names, comment histories"
9,현대차 '정적 VI' 발동...NAVER도 급락
10,Naver forms W50b fund for media contents startups
11,외인·기관“NAVER·LG화학은 사자”…왜?
12,[유가증권시장 공시] STX중공업 / NAVER / 팜스코
13,FTC to report Naver Chairman to prosecutors for violating antitrust laws
14,‘디지털 보험’ 진출하는 kakao… 亞금융플랫폼 구상하는 NAVER
15,"FTC sets up special team to probe Naver, Google"
16,"네이버, 4월 5일 AI 연구자 대상 'NAVER AI 콜로키움' 개최"
17,"Naver, Kakao eye future in video platform business"
18,Naver takes top place in stock conversion price ranking
19,< ICT >언택트 바람 탄 ‘IT 공룡’… 유통·증권·보험 ‘무한질주’
20,"NAVER, 어닝 쇼크에도 외인 담는 이유는"
21,Naver introduces AI-based content curating app ‘Disco’
22,"Naver, Kakao aim to transform e-commerce with ‘chatbots’"
23,"Naver, Kakao’s overseas investments near W1tr this year"
24,"네이버 대학생 지원 ""한눈에 보자"" NAVER 20s 오픈"
25,Mobile business boosts Naver
26,[DECODED] Is Naver a news medium?
27,"[DECODED] Naver, the new king of journalism"
28,"LG, Naver cooperate on dual-screen browsing platform"
29,"China continues to block Naver blogs, cafes in internet censorship boost"
30,"Naver, Kakao entering devices market"
31,Naver jumps into cloud platform service business
32,"네이버, ‘with NAVER’ 세번째 홈런포 예정작은 ‘엔젤스톤’"
33,[증시캘린더]NAVER 액면분할 절차...오늘부터 3거래일 매매정지
34,"Startups say Naver, Kakao’s repeated plagiarism undermines their effort..."
35,"강세장 소외 NAVER, 주가 80만원도 하회"
36,Naver introduces AI voice assistant app
37,"Naver challenges YouTube with video-strong blogs, but hurdles persist"
38,"[Weekender] Audiobook market expands in Korea, buoyed by COVID-19"
39,Naver launches mobile payment service in Japan
40,"[fn화제주] NAVER, ‘라인 웹툰’ 출시 기대감에 4.96%↑"
41,삼성전자 반면교사?…NAVER ‘액면분할 카드’ 개미들 외면
42,"Naver, Line unveil new AI-powered digital assistant platform"
43,"Naver Webtoon forms ‘Studio N’ for webtoon-based film, drama productio..."
44,"웃고 있지만 신경 쓰이는 '형님', NAVER"
45,[Graphic News] KakaoTalk surpasses Naver in brand value
46,NAVER ‘거침없는 하이킥’
47,'Naver on track to fulfilling technology platform vision'
48,Naver most popular workplace among college students: survey
49,"Antitrust regulator chief nominee plans to check Google, Apple, Naver"
50,"Naver to become tech platform for small businesses, creators"
51,"[fn 화제주] NAVER, 라인 연내 상장 추진 중단에도 강세"
52,SM엔터에 날개 달아준 네이버… 이수만 이어 2대주주로
53,[Yang Sung-jin] Never underestimate Naver dominance
54,Naver to spin off mobile video messaging app Snow
55,[Newsmaker] What’s next for Naver after Line IPO?
56,"네이버, 베트남 최고 명문대와 협력 'AI인재 육성'"
57,"네이버, 베트남 최고 공대와 손잡고 ‘글로벌 AI 연구벨트’ 조성"
58,Naver launches new fine dust tracking service
59,[News Focus] Naver faces growing calls to become more transparent news p...
60,"[Eye Interview] At Naver, the user is always king"
61,‘Naver tops e-commerce market’
62,"Naver secures digital history, energy"
63,[내일의전략]진격의 NAVER와 지하실의 GS건설
