,헤드라인,레이블
0,"현대차, 베트남서 교육사회공헌사업 MOU 체결",1
1,"현대차, 베트남 교육 사회공헌사업 업무협약",1
2,현대백화점도 새벽배송,1
3,현대차 노사의 '뉴딜 실험'…원키트 시스템 도입 속도,1
4,[부음] 김원식 前 현대전자 상무이사 별세 외,0
5,현대차 연구소 찾아간 이재용… 정의선과 ‘미래차 동맹’ 시동,1
6,"이재용-정의선, 두달만에 또 ‘미래차’ 회동",1
7,"두달 만에 다시 만난 이재용-정의선, ""재계1, 2위 미래 모빌리티 협력 속도 낸...",1
8,이재용-정의선 두달만에 다시 만나…`미래車 통큰협력` 속도,1
9,현대차 남양연구소에서 다시 만난 이재용·정의선,1
10,"혼자선 먼 길… 삼성·현대차, 차세대 모빌리티 함께 탄다",1
11,"[인터뷰]`최초` 3관왕 더 뉴 싼타페…""내 아이 탄다는 마음으로 만들어""",1
12,제2 쯔양·대도서관 발굴한다… 현대車 `프로젝트 해시태그`,1
13,"현대차-국립현대미술관, '프로젝트 해시태그 2020' 전시 개최",1
14,넥쏘 함께 탄 李-鄭… 전기차 '팀 코리아' 급물살 탄다 [이재용-정의선 두 달...,1
15,"미래차 협력, 배터리 넘어 전장부품 확대 전망",1
16,현대차가 중고차까지 판다면…‘득’될까 ‘독’될까,0
17,"이재용-정의선, 두 달만에 재회동…현대차 남양연구소 이례적 공개",1
18,반도체 책임자 대동하고 현대차 연구소 간 이재용,1
19,"[사설]삼성-현대차 협력, 결실 맺어야",1
20,"[단독] ""테슬라처럼"" 현대차, 차량 성능 무선 업데이트 기술 탑재한다",1
21,충돌 위험땐 알아서 브레이크… 車 첨단장치 다니 안전 ‘파란불’,1
22,"모바일로 보고·결재, 자율좌석제 도입…'일하는 방식' 확 바꾸는 현대글로비...",1
23,"현대차, 베트남시장서 1위… 도요타 제쳐",1
24,고성능 모델 확대 나선 현대車…쏘나타·투싼도 'N배지' 단다,1
25,글로벌완성차 `배터리동맹` 가속에…부품업계 위기감 더 커져,0
26,베트남서 도요타 제치고 승용차 1위 오른 현대車,1
27,국내 생산 없는데…테슬라 보조금 1250만원은 특혜?,0
28,"정몽구 현대차그룹 회장 입원 ""염증 치료 후 곧 퇴원 예정""",0
29,"현대·기아차, 코로나에도 유럽서 ‘질주’",1
30,"현대차, 취약계층 아동과 ‘H-맛있는 동행’ 요리교육 진행",1
31,버스·트럭 수소차 전환시 연료비 보전…현대차에 날개,1
32,"애국소비·프리미엄에 밀려···현대·기아차, 중국서 고전",0
33,車전장부품 직접 챙겨… 정의선 연합전선 주목,1
34,"이재용 ""혁신 이끌지 못하면 뒤쳐져""···현장서 또 '초격차' 외쳤다",1
35,"열흘만에 `미래경영` 행보… 부산사업장 찾아 ""선두서 혁신 이끌자""",1
36,요리 가르치고 나눠… 현대차 노사의 ‘맛있는 동행’,1
37,주문 밀려 그랜저 증산…그래도 못 웃는 현대차,0
38,"현대車, 美서 쏘나타 등 4개 차종 27만여대 리콜",0
39,갈 길 바쁜 현대차…노조는 '전기차 모듈' 두고 갈등 조짐,0
40,테슬라 잡아라… 불꽃 튀는 전기차 시장,1
41,미래차 과제 안은 정의선… 외부와 적극 소통 ‘코디네이터’로,1
42,이재용·정의선 2차 회동… ‘배터리 동맹’ 굳힌다,1
43,이번엔 이재용이 정의선 찾아간다,1
44,"울산, 하늘 나는 자동차 상용화 추진",1
45,상반기 숨고른 현대차…여름휴가 기간 新車 준비 '가속페달',1
46,올해 1~5월 세계 전기차 판매량서 현대·기아차 나란히 6·7위,1
47,"현대·기아차, 글로벌 전기차 판매 톱10 `선방`",1
48,이재용·정의선 또 만난다…현대차 남양硏서 미래차 논의,1
49,"이재용-정의선, 오는 21일 '2차 회동'…미래차 협업 속도",1
50,[단독]이재용-정의선 2차 회동··· 속도내는 'K배터리 동맹',1
51,이재용-정의선 또 만난다,1
52,"이재용, 정의선과 두번째 ‘배터리 회동’",1
53,"현대차, 폐플라스틱 장난감 재활용 앞장선다",1
54,테슬라 시승 나선 현대차 노조,1
55,LPG 충전소에 각종 편의시설 갖춘 ‘에코스테이션’ 선봬,1
56,"SK가스, 친환경 복합충전소 `에코스테이션` 1호점 오픈",1
57,"SK가스, LPG·수소 복합충전소 열어",1
58,"LPG충전소, 직접 세차하고 파티 즐기는 문화공간으로 변신",1
59,"SK가스, 친환경 복합충전소 사업 진출",1
60,“에어컨은 정규직만”…노동자들이 고발하는 ‘하청 지옥’ 실태,0
61,기아차 '전기車 공유사업' 나서나,1
62,"실적 부진, 세금 부담 큰데… 그린뉴딜에 정유사들 울상",0
63,이재용-정의선 ‘자율주행’ 회동,1
64,"정의선·이재용, '한국판 뉴딜' 미래車 교감",1
65,“지주사 지분 규제 강화땐 24만명 고용 여력 상실”,0
66,[株머니 주요산업 증시기상도] 언택트株 vs 콘택트株…당분간 시소게임 전망,0
67,재계1·2위 '미래차 결의'···K 모빌리티 액셀 밟는다,1
68,올 들어 7번째 현장 점검…책임경영 이어간 이재용,1
69,"기아차, 코드42와 전기차 모빌리티기업 퍼플엠 공동 설립",1
70,[부고] 부경순씨 外,0
71,[사진] ‘한국판 뉴딜’ 정의선의 화상 브리핑,1
72,[국제 그린에너지 엑스포] 코로나19도 막지 못한 그린에너지 열기,1
73,"정의선-한성숙, 핵심 사업장서 ‘미래비전’ 화상소개",1
74,“올 여름휴가는 없다” 회장님들도 ‘방콕행’,0
